X, Y
0,0
1,1
2,5.414213562
3,11.73205081
4,7
5,10.23606798
6,10.44948974
7,11.64575131
8,8.828427125
9,7
10,5.16227766
11,11.31662479
12,6.464101615
13,11.60555128
14,3.741657387
15,9.872983346
16,10
17,10.12310563
18,10.24264069
19,4.358898944
20,4.472135955
21,9.582575695
22,7.69041576
23,11.79583152
24,12.89897949
25,5
26,10.09901951
27,6.196152423
28,7.291502622
29,17.38516481
30,7.477225575
31,17.56776436
32,15.65685425
33,13.74456265
34,10.83095189
35,7.916079783
36,9
37,17.08276253
38,18.164414
39,16.244998
40,15.32455532
41,18.40312424
42,13.4807407
43,16.55743852
44,13.63324958
45,9.708203932
46,7.782329983
47,17.8556546
48,12.92820323
49,17
50,16.07106781
